           name        mass       width    J    I  I_3         pid   B   Q   S   C   T   B
    chi(b2)(1P)      9.9122           0    2    0    0         555   0   0   0   0   0   0
    chi(b1)(1P)      9.8928           0    1    0    0       20553   0   0   0   0   0   0
    chi(b0)(1P)      9.8594           0    0    0    0       10551   0   0   0   0   0   0
     f(2)(2340)        2.34        0.32    2    0    0     9090225   0   0   0   0   0   0
     f(2)(2300)       2.297        0.15    2    0    0     9080225   0   0   0   0   0   0
  N(2190)(G17)+        2.19         0.5  3.5  0.5  0.5        2128   1   1   0   0   0   0
N(2190)(G17)+bar        2.19         0.5  3.5  0.5 -0.5       -2128  -1  -1   0   0   0   0
   N(2190)(G17)        2.19         0.5  3.5  0.5 -0.5        1218   1   0   0   0   0   0
N(2190)(G17)bar        2.19         0.5  3.5  0.5  0.5       -1218  -1   0   0   0   0   0
Lambda(2100)(G07)         2.1         0.2  3.5    0    0        3128   1   0  -1   0   0   0
Lambda(2100)(G07)bar         2.1         0.2  3.5    0    0       -3128  -1   0   1   0   0   0
   K(4)*(2045)+       2.045       0.198    4  0.5  0.5         329   0   1   1   0   0   0
K(4)*(2045)+bar       2.045       0.198    4  0.5 -0.5        -329   0  -1  -1   0   0   0
    K(4)*(2045)       2.045       0.198    4  0.5 -0.5         319   0   0   1   0   0   0
 K(4)*(2045)bar       2.045       0.198    4  0.5  0.5        -319   0   0  -1   0   0   0
Sigma(2030)(F17)+        2.03        0.18  3.5    1    1        3228   1   1  -1   0   0   0
Sigma(2030)(F17)+bar        2.03        0.18  3.5    1   -1       -3228  -1  -1   1   0   0   0
Sigma(2030)(F17)        2.03        0.18  3.5    1    0        3218   1   0  -1   0   0   0
Sigma(2030)(F17)bar        2.03        0.18  3.5    1    0       -3218  -1   0   1   0   0   0
Sigma(2030)(F17)-        2.03        0.18  3.5    1   -1        3118   1  -1  -1   0   0   0
Sigma(2030)(F17)-bar        2.03        0.18  3.5    1    1       -3118  -1   1   1   0   0   0
     f(4)(2050)       2.018       0.237    4    0    0         229   0   0   0   0   0   0
    a(4)(2040)+       2.001       0.313    4    1    1         219   0   1   0   0   0   0
    a(4)(2040)-       2.001       0.313    4    1   -1        -219   0  -1   0   0   0   0
     a(4)(2040)       2.001       0.313    4    1    0         119   0   0   0   0   0   0
Delta(1930)(D35)++        1.96        0.36  2.5  1.5  1.5       12226   1   2   0   0   0   0
Delta(1930)(D35)++bar        1.96        0.36  2.5  1.5 -1.5      -12226  -1  -2   0   0   0   0
Delta(1930)(D35)+        1.96        0.36  2.5  1.5  0.5       12126   1   1   0   0   0   0
Delta(1930)(D35)+bar        1.96        0.36  2.5  1.5 -0.5      -12126  -1  -1   0   0   0   0
Delta(1930)(D35)        1.96        0.36  2.5  1.5 -0.5       11216   1   0   0   0   0   0
Delta(1930)(D35)bar        1.96        0.36  2.5  1.5  0.5      -11216  -1   0   0   0   0   0
Delta(1930)(D35)-        1.96        0.36  2.5  1.5 -1.5       11116   1  -1   0   0   0   0
Delta(1930)(D35)-bar        1.96        0.36  2.5  1.5  1.5      -11116  -1   1   0   0   0   0
     f(2)(1950)       1.944       0.472    2    0    0     9050225   0   0   0   0   0   0
Sigma(1940)(D13)+        1.94        0.22  1.5    1    1       23224   1   1  -1   0   0   0
Sigma(1940)(D13)+bar        1.94        0.22  1.5    1   -1      -23224  -1  -1   1   0   0   0
Sigma(1940)(D13)        1.94        0.22  1.5    1    0       23214   1   0  -1   0   0   0
Sigma(1940)(D13)bar        1.94        0.22  1.5    1    0      -23214  -1   0   1   0   0   0
Sigma(1940)(D13)-        1.94        0.22  1.5    1   -1       23114   1  -1  -1   0   0   0
Sigma(1940)(D13)-bar        1.94        0.22  1.5    1    1      -23114  -1   1   1   0   0   0
Delta(1950)(F37)++        1.93        0.28  3.5  1.5  1.5        2228   1   2   0   0   0   0
Delta(1950)(F37)++bar        1.93        0.28  3.5  1.5 -1.5       -2228  -1  -2   0   0   0   0
Delta(1950)(F37)+        1.93        0.28  3.5  1.5  0.5        2218   1   1   0   0   0   0
Delta(1950)(F37)+bar        1.93        0.28  3.5  1.5 -0.5       -2218  -1  -1   0   0   0   0
Delta(1950)(F37)        1.93        0.28  3.5  1.5 -0.5        2118   1   0   0   0   0   0
Delta(1950)(F37)bar        1.93        0.28  3.5  1.5  0.5       -2118  -1   0   0   0   0   0
Delta(1950)(F37)-        1.93        0.28  3.5  1.5 -1.5        1118   1  -1   0   0   0   0
Delta(1950)(F37)-bar        1.93        0.28  3.5  1.5  1.5       -1118  -1   1   0   0   0   0
Delta(1920)(P33)++        1.92         0.2  1.5  1.5  1.5       22224   1   2   0   0   0   0
Delta(1920)(P33)++bar        1.92         0.2  1.5  1.5 -1.5      -22224  -1  -2   0   0   0   0
Delta(1920)(P33)+        1.92         0.2  1.5  1.5  0.5       22214   1   1   0   0   0   0
Delta(1920)(P33)+bar        1.92         0.2  1.5  1.5 -0.5      -22214  -1  -1   0   0   0   0
Delta(1920)(P33)        1.92         0.2  1.5  1.5 -0.5       22114   1   0   0   0   0   0
Delta(1920)(P33)bar        1.92         0.2  1.5  1.5  0.5      -22114  -1   0   0   0   0   0
Delta(1920)(P33)-        1.92         0.2  1.5  1.5 -1.5       21114   1  -1   0   0   0   0
Delta(1920)(P33)-bar        1.92         0.2  1.5  1.5  1.5      -21114  -1   1   0   0   0   0
Sigma(1915)(F15)+       1.915        0.12  2.5    1    1       13226   1   1  -1   0   0   0
Sigma(1915)(F15)+bar       1.915        0.12  2.5    1   -1      -13226  -1  -1   1   0   0   0
Sigma(1915)(F15)       1.915        0.12  2.5    1    0       13216   1   0  -1   0   0   0
Sigma(1915)(F15)bar       1.915        0.12  2.5    1    0      -13216  -1   0   1   0   0   0
Sigma(1915)(F15)-       1.915        0.12  2.5    1   -1       13116   1  -1  -1   0   0   0
Sigma(1915)(F15)-bar       1.915        0.12  2.5    1    1      -13116  -1   1   1   0   0   0
Delta(1910)(P31)++        1.91        0.25  0.5  1.5  1.5       22222   1   2   0   0   0   0
Delta(1910)(P31)++bar        1.91        0.25  0.5  1.5 -1.5      -22222  -1  -2   0   0   0   0
Delta(1910)(P31)+        1.91        0.25  0.5  1.5  0.5       22122   1   1   0   0   0   0
Delta(1910)(P31)+bar        1.91        0.25  0.5  1.5 -0.5      -22122  -1  -1   0   0   0   0
Delta(1910)(P31)        1.91        0.25  0.5  1.5 -0.5       21212   1   0   0   0   0   0
Delta(1910)(P31)bar        1.91        0.25  0.5  1.5  0.5      -21212  -1   0   0   0   0   0
Delta(1910)(P31)-        1.91        0.25  0.5  1.5 -1.5       21112   1  -1   0   0   0   0
Delta(1910)(P31)-bar        1.91        0.25  0.5  1.5  1.5      -21112  -1   1   0   0   0   0
Delta(1905)(F35)++        1.89        0.33  2.5  1.5  1.5        2226   1   2   0   0   0   0
Delta(1905)(F35)++bar        1.89        0.33  2.5  1.5 -1.5       -2226  -1  -2   0   0   0   0
Delta(1905)(F35)+        1.89        0.33  2.5  1.5  0.5        2126   1   1   0   0   0   0
Delta(1905)(F35)+bar        1.89        0.33  2.5  1.5 -0.5       -2126  -1  -1   0   0   0   0
Delta(1905)(F35)        1.89        0.33  2.5  1.5 -0.5        1216   1   0   0   0   0   0
Delta(1905)(F35)bar        1.89        0.33  2.5  1.5  0.5       -1216  -1   0   0   0   0   0
Delta(1905)(F35)-        1.89        0.33  2.5  1.5 -1.5        1116   1  -1   0   0   0   0
Delta(1905)(F35)-bar        1.89        0.33  2.5  1.5  1.5       -1116  -1   1   0   0   0   0
Lambda(1890)(P03)        1.89         0.1  1.5    0    0       23124   1   0  -1   0   0   0
Lambda(1890)(P03)bar        1.89         0.1  1.5    0    0      -23124  -1   0   1   0   0   0
   phi(3)(1850)       1.854       0.087    3    0    0         337   0   0   0   0   0   0
Lambda(1830)(D05)        1.83       0.095  2.5    0    0       13126   1   0  -1   0   0   0
Lambda(1830)(D05)bar        1.83       0.095  2.5    0    0      -13126  -1   0   1   0   0   0
  Xi(1820)(D13)       1.823       0.024  1.5  0.5  0.5       13324   1   0  -2   0   0   0
Xi(1820)(D13)bar       1.823       0.024  1.5  0.5 -0.5      -13324  -1   0   2   0   0   0
 Xi(1820)(D13)-       1.823       0.024  1.5  0.5 -0.5       13314   1  -1  -2   0   0   0
Xi(1820)(D13)-bar       1.823       0.024  1.5  0.5  0.5      -13314  -1   1   2   0   0   0
Lambda(1820)(F05)        1.82        0.08  2.5    0    0        3126   1   0  -1   0   0   0
Lambda(1820)(F05)bar        1.82        0.08  2.5    0    0       -3126  -1   0   1   0   0   0
      pi(1800)+       1.816       0.208    0    1    1     9010211   0   1   0   0   0   0
      pi(1800)-       1.816       0.208    0    1   -1    -9010211   0  -1   0   0   0   0
       pi(1800)       1.816       0.208    0    1    0     9010111   0   0   0   0   0   0
    K(2)(1820)+       1.816       0.276    2  0.5  0.5       20325   0   1   1   0   0   0
 K(2)(1820)+bar       1.816       0.276    2  0.5 -0.5      -20325   0  -1  -1   0   0   0
     K(2)(1820)       1.816       0.276    2  0.5 -0.5       20315   0   0   1   0   0   0
  K(2)(1820)bar       1.816       0.276    2  0.5  0.5      -20315   0   0  -1   0   0   0
Lambda(1810)(P01)        1.81        0.15  0.5    0    0       53122   1   0  -1   0   0   0
Lambda(1810)(P01)bar        1.81        0.15  0.5    0    0      -53122  -1   0   1   0   0   0
Lambda(1800)(S01)         1.8         0.3  0.5    0    0       43122   1   0  -1   0   0   0
Lambda(1800)(S01)bar         1.8         0.3  0.5    0    0      -43122  -1   0   1   0   0   0
   K(3)*(1780)+       1.776       0.159    3  0.5  0.5         327   0   1   1   0   0   0
K(3)*(1780)+bar       1.776       0.159    3  0.5 -0.5        -327   0  -1  -1   0   0   0
    K(3)*(1780)       1.776       0.159    3  0.5 -0.5         317   0   0   1   0   0   0
 K(3)*(1780)bar       1.776       0.159    3  0.5  0.5        -317   0   0  -1   0   0   0
Sigma(1775)(D15)+       1.775        0.12  2.5    1    1        3226   1   1  -1   0   0   0
Sigma(1775)(D15)+bar       1.775        0.12  2.5    1   -1       -3226  -1  -1   1   0   0   0
Sigma(1775)(D15)       1.775        0.12  2.5    1    0        3216   1   0  -1   0   0   0
Sigma(1775)(D15)bar       1.775        0.12  2.5    1    0       -3216  -1   0   1   0   0   0
Sigma(1775)(D15)-       1.775        0.12  2.5    1   -1        3116   1  -1  -1   0   0   0
Sigma(1775)(D15)-bar       1.775        0.12  2.5    1    1       -3116  -1   1   1   0   0   0
    K(2)(1770)+       1.773       0.186    2  0.5  0.5       10325   0   1   1   0   0   0
 K(2)(1770)+bar       1.773       0.186    2  0.5 -0.5      -10325   0  -1  -1   0   0   0
     K(2)(1770)       1.773       0.186    2  0.5 -0.5       10315   0   0   1   0   0   0
  K(2)(1770)bar       1.773       0.186    2  0.5  0.5      -10315   0   0  -1   0   0   0
Sigma(1750)(S11)+        1.75        0.09  0.5    1    1       23222   1   1  -1   0   0   0
Sigma(1750)(S11)+bar        1.75        0.09  0.5    1   -1      -23222  -1  -1   1   0   0   0
Sigma(1750)(S11)        1.75        0.09  0.5    1    0       23212   1   0  -1   0   0   0
Sigma(1750)(S11)bar        1.75        0.09  0.5    1    0      -23212  -1   0   1   0   0   0
Sigma(1750)(S11)-        1.75        0.09  0.5    1   -1       23112   1  -1  -1   0   0   0
Sigma(1750)(S11)-bar        1.75        0.09  0.5    1    1      -23112  -1   1   1   0   0   0
     f(0)(1710)       1.724       0.137    0    0    0       10331   0   0   0   0   0   0
     rho(1700)+        1.72        0.25    1    1    1       30213   0   1   0   0   0   0
     rho(1700)-        1.72        0.25    1    1   -1      -30213   0  -1   0   0   0   0
      rho(1700)        1.72        0.25    1    1    0       30113   0   0   0   0   0   0
  N(1720)(P13)+        1.72         0.2  1.5  0.5  0.5       32124   1   1   0   0   0   0
N(1720)(P13)+bar        1.72         0.2  1.5  0.5 -0.5      -32124  -1  -1   0   0   0   0
   N(1720)(P13)        1.72         0.2  1.5  0.5 -0.5       31214   1   0   0   0   0   0
N(1720)(P13)bar        1.72         0.2  1.5  0.5  0.5      -31214  -1   0   0   0   0   0
      K*(1680)+       1.717        0.32    1  0.5  0.5       30323   0   1   1   0   0   0
   K*(1680)+bar       1.717        0.32    1  0.5 -0.5      -30323   0  -1  -1   0   0   0
       K*(1680)       1.717        0.32    1  0.5 -0.5       30313   0   0   1   0   0   0
    K*(1680)bar       1.717        0.32    1  0.5  0.5      -30313   0   0  -1   0   0   0
  N(1710)(P11)+        1.71         0.1  0.5  0.5  0.5       42212   1   1   0   0   0   0
N(1710)(P11)+bar        1.71         0.1  0.5  0.5 -0.5      -42212  -1  -1   0   0   0   0
   N(1710)(P11)        1.71         0.1  0.5  0.5 -0.5       42112   1   0   0   0   0   0
N(1710)(P11)bar        1.71         0.1  0.5  0.5  0.5      -42112  -1   0   0   0   0   0
  N(1700)(D13)+         1.7         0.1  1.5  0.5  0.5       22124   1   1   0   0   0   0
N(1700)(D13)+bar         1.7         0.1  1.5  0.5 -0.5      -22124  -1  -1   0   0   0   0
   N(1700)(D13)         1.7         0.1  1.5  0.5 -0.5       21214   1   0   0   0   0   0
N(1700)(D13)bar         1.7         0.1  1.5  0.5  0.5      -21214  -1   0   0   0   0   0
Delta(1700)(D33)++         1.7         0.3  1.5  1.5  1.5       12224   1   2   0   0   0   0
